0	0
1	0.744
2	0.736
3	0.742
4	0
5	0.399
6	0.39
7	0
8	0.253
9	0.298
10	0.278
11	0.4
12	0.269
13	0
14	0.658
15	0.656
16	0.637
17	0.693
18	0
19	0.441
20	0.44
21	0.421
22	0
23	0.35
24	0.348
25	0
26	0.358
27	0.355
28	0
29	0.251
30	0.237
31	0.242
32	0.247
33	0.267
34	0
35	0
36	0.738
37	0.756
38	0.759
39	0
40	0.768
41	0.76
42	0.771
43	0
44	0.739
45	0.707
46	0
47	0.929
48	0.946
49	0
50	0.914
51	0.743
52	0
53	0
54	0.246
55	0
56	0.537
57	0
58	0.6
59	0
60	0.768
61	0.549
62	0
63	0.871
64	0.878
65	0
66	0.768
67	0
68	0.711
69	0
70	0.451
71	0
72	0.336
73	0
74	0
75	0
76	0
77	0
78	0
79	0.583
80	0.571
81	0
82	0.542
83	0.545
84	0.515
85	0.535
86	0
87	0.635
88	0.635
89	0
90	0.623
91	0.614
92	0
93	0.324
94	0
95	0.284
96	0.261
97	0
98	0.137
99	0.128
100	0.096
101	0.125
102	0.117
103	0.135
104	0.113
105	0.115
106	0.105
107	0.138
108	0
109	0.746
110	0.751
111	0
112	0.592
113	0.592
114	0
115	0.73
116	0.751
117	0.768
118	0
119	0.604
120	0.609
121	0
122	0
123	0.494
124	0.496
125	0.479
126	0
127	0.652
128	0.645
129	0
130	0.878
131	0.879
132	0
133	0.803
134	0.8
135	0
136	0.636
137	0.631
138	0.627
139	0.627
140	0
141	0.979
142	0.809
143	0
144	0.414
145	0.441
146	0.423
147	0.428
148	0
149	0.542
150	0.535
151	0.528
152	0.531
153	0.427
154	0.527
155	0.416
156	0
157	0
158	0.875
159	0
160	0.885
161	0.905
162	0
163	0.662
164	0.653
165	0.648
166	0.673
167	0
168	0.389
169	0.376
170	0.384
171	0.388
172	0
173	0.444
174	0.443
175	0.418
176	0.421
177	0.36
178	0.348
179	0.357
180	0
181	0
182	0
183	0.243
184	0.225
185	0.214
186	0.225
187	0.353
188	0.342
189	0.337
190	0.206
191	0.212
192	0.248
193	0
194	0.865
195	0.873
196	0.938
197	0
198	0.262
199	0.258
200	0.273
201	0
202	0.335
203	0.386
204	0.366
205	0.357
206	0
207	0.212
208	0.226
209	0
210	0.257
211	0.262
212	0.254
213	0
214	0.238
215	0.265
216	0.226
217	0
218	0.451
219	0.46
220	0.464
221	0.88
222	0
223	0.659
224	0.618
225	0.88
226	0
227	0.535
228	0.533
229	0
230	0.896
231	0.896
232	0
233	0.176
234	0.168
235	0.151
236	0.155
237	0.165
238	0.156
239	0
240	0.144
241	0.123
242	0.121
243	0.135
244	0
245	0.28
246	0
247	0
248	1
249	0
250	0.088
251	0
252	0.185
253	0.173
254	0
255	0.682
256	0.387
257	0.417
258	0.396
259	0
260	0.381
261	0
262	0.702
263	0.376
264	0.494
265	0
266	0.724
267	0.276
268	0
269	0.199
270	0
271	0.848
272	0.879
273	0
274	0.827
275	0.7
276	0.708
277	0
278	0.187
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0.06
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0.042
295	0
296	0
297	0
298	0.049
299	0.335
300	0.099
301	0
302	0
303	0.408
304	0.191
305	0.25
306	0
307	0
308	0.054
309	0.311
310	0
311	0
312	0
313	0.055
314	0
315	0
316	0
317	0
318	0
319	0
320	0.23
321	0.631
322	0
323	0.446
324	0
325	0.038
326	0
327	0.507
328	0.512
329	0.56
330	0
331	0
332	0
333	0.412
334	0.032
335	0.605
336	0
337	0.085
338	0
339	0.211
340	0
341	0.107
342	0
343	0.226
344	0.018
345	0.763
346	0
347	0.016
348	0.551
349	0
350	0.244
351	0.104
352	0.105
353	0
354	0.639
355	0
356	0
357	0
358	0
359	0
360	0
361	0.034
362	0.042
363	0
364	0
365	0.078
366	0.144
367	0
368	0
369	0.138
370	0
371	0.803
372	0.538
373	0
374	0.871
375	0
376	0
377	0.832
378	0.319
379	0
380	0
381	0.229
382	0
383	0.216
384	0.268
385	0
386	0
387	0
388	0
389	0.611
390	0
391	0
392	0
393	0.54
394	0.08
395	0
396	0
397	0
398	0
399	0
400	0
401	0.289
402	0.313
403	0
404	0
405	0.121
406	0
407	0
408	0.305
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0.312
420	0.367
421	0
422	0
423	0.168
424	0
425	0
426	0.087
427	0
428	0
429	0.064
430	0
431	0
432	0
433	0.058
434	0.299
435	0
436	0.063
437	0.148
438	0
439	0.372
440	0.262
441	0.242
442	0
443	0
444	0
445	0
446	0
447	0
448	0.473
449	0.498
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0.749
465	0.549
466	0.738
467	0.24
468	0.269
469	0.537
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0.246
480	0
481	0.661
482	0.333
483	0
484	0.24
485	0.216
486	0.04
